neighbourhood,beds,yearly_revenue,availability_365,city
Floridsdorf,4.0,24463.615384615383,0.6016859852476291,Vienna
Floridsdorf,5.0,5574.5,0.1171232876712328,Vienna
Floridsdorf,6.0,27621.0,0.7643835616438356,Vienna
Floridsdorf,13.0,83950.0,1.0,Vienna
Floridsdorf,28.0,1610.0,0.0191780821917808,Vienna
Hernals,1.0,10077.089041095893,0.6264402326890598,Vienna
Hernals,2.0,12488.510791366907,0.4994382576130876,Vienna
Hernals,3.0,18137.68181818182,0.5430261519302616,Vienna
Hernals,4.0,19554.117647058825,0.4984689766317486,Vienna
Hernals,5.0,21817.875,0.498972602739726,Vienna
Hernals,6.0,10703.333333333334,0.1899543378995433,Vienna
Hernals,7.0,20075.0,1.0,Vienna
Hernals,8.0,54053.0,0.7753424657534247,Vienna
Hietzing,1.0,10905.184615384616,0.5758482613277134,Vienna
Hietzing,2.0,14240.205128205129,0.5257463997190024,Vienna
Hietzing,3.0,23583.07692307692,0.5830347734457324,Vienna
Hietzing,4.0,24025.555555555555,0.4964992389649924,Vienna
Hietzing,8.0,53360.0,0.6356164383561644,Vienna
Innere Stadt,1.0,22553.056603773584,0.5238692168518997,Vienna
Innere Stadt,2.0,29321.91943127962,0.5138739206648055,Vienna
Innere Stadt,3.0,33539.92105263158,0.4817952415284787,Vienna
Innere Stadt,4.0,31054.121951219517,0.4382225192114934,Vienna
Innere Stadt,5.0,40197.066666666666,0.5112328767123288,Vienna
Innere Stadt,6.0,41988.0,0.5832876712328767,Vienna
Innere Stadt,7.0,29854.0,0.3556164383561644,Vienna
Innere Stadt,8.0,2530.0,0.0301369863013698,Vienna
Josefstadt,1.0,16288.436974789916,0.7629561413606538,Vienna
Josefstadt,2.0,23752.56043956044,0.6527773596266747,Vienna
Josefstadt,3.0,26457.666666666668,0.6081430745814308,Vienna
Josefstadt,4.0,20293.6,0.4852054794520548,Vienna
Josefstadt,5.0,37923.8,0.6673972602739726,Vienna
Josefstadt,6.0,44993.333333333336,0.9214611872146118,Vienna
Josefstadt,10.0,27000.0,0.3287671232876712,Vienna
Josefstadt,11.0,25070.0,0.2986301369863013,Vienna
Landstra§e,1.0,15224.44359464627,0.614662510804369,Vienna
Landstra§e,2.0,19235.098321342924,0.5460333103380309,Vienna
Landstra§e,3.0,21159.64383561644,0.4812159879902421,Vienna
Landstra§e,4.0,21297.04081632653,0.4932065977075762,Vienna
Landstra§e,5.0,27724.0625,0.4577054794520548,Vienna
Landstra§e,6.0,29520.666666666668,0.5905631659056316,Vienna
Landstra§e,7.0,83950.0,1.0,Vienna
Landstra§e,8.0,47830.333333333336,0.6091324200913242,Vienna
Landstra§e,12.0,28290.0,0.336986301369863,Vienna
Landstra§e,15.0,8050.0,0.0958904109589041,Vienna
Landstra§e,28.0,230.0,0.0027397260273972,Vienna
Leopoldstadt,1.0,13765.093444909344,0.5926826006381231,Vienna
Leopoldstadt,2.0,17513.755859375,0.5480308219178082,Vienna
Leopoldstadt,3.0,21406.866666666665,0.5145039435450394,Vienna
Leopoldstadt,4.0,24357.028985507248,0.5242803255906293,Vienna
Leopoldstadt,5.0,28942.17142857143,0.5086497064579256,Vienna
Leopoldstadt,6.0,36935.22222222222,0.7458143074581431,Vienna
Leopoldstadt,7.0,48367.75,0.8691780821917808,Vienna
